Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
LED17_L3   LM301B            2362.205mil  -1181.102mil   2362.205mil  -1181.102mil   2300.197mil  -1225.394mil  T        180.00 5000K          
LED16_L4   LM301B            2362.205mil   2755.905mil   2362.205mil   2755.905mil   2300.197mil   2711.614mil  T        180.00 2700K          
LED16_L3   LM301B            2362.205mil  -1968.504mil   2362.205mil  -1968.504mil   2300.197mil  -2012.795mil  T        180.00 2700K          
LED15_L4   LM301B            2362.205mil   1968.504mil   2362.205mil   1968.504mil   2300.197mil   1924.213mil  T        180.00 2700K          
LED15_L3   LM301B            2362.205mil  -2755.906mil   2362.205mil  -2755.906mil   2300.197mil  -2800.197mil  T        180.00 2700K          
LED14_L4   LM301B            2362.205mil   1181.102mil   2362.205mil   1181.102mil   2300.197mil   1136.811mil  T        180.00 5000K          
LED14_L3   LM301B            2362.205mil  -3543.307mil   2362.205mil  -3543.307mil   2300.197mil  -3587.598mil  T        180.00 5000K          
LED13_L4   LM301B            2362.205mil    393.701mil   2362.205mil    393.701mil   2300.197mil    349.409mil  T        180.00 2700K          
LED13_L3   LM301B            2362.205mil  -4330.709mil   2362.205mil  -4330.709mil   2300.197mil      -4375mil  T        180.00 2700K          
LED12_L4   LM301B            1574.803mil   4330.709mil   1574.803mil   4330.709mil   1512.795mil   4286.417mil  T        180.00 2700K          
LED12_L3   LM301B            1574.803mil   -393.701mil   1574.803mil   -393.701mil   1512.795mil   -437.992mil  T        180.00 2700K          
LED11_L4   LM301B            1574.803mil   3543.307mil   1574.803mil   3543.307mil   1512.795mil   3499.016mil  T        180.00 5000K          
LED11_L3   LM301B            1574.803mil  -1181.102mil   1574.803mil  -1181.102mil   1512.795mil  -1225.394mil  T        180.00 5000K          
LED10_L4   LM301B            1574.803mil   2755.905mil   1574.803mil   2755.905mil   1512.795mil   2711.614mil  T        180.00 2700K          
LED10_L3   LM301B            1574.803mil  -1968.504mil   1574.803mil  -1968.504mil   1512.795mil  -2012.795mil  T        180.00 2700K          
LED9_L4    LM301B            1574.803mil   1968.504mil   1574.803mil   1968.504mil   1512.795mil   1924.213mil  T        180.00 2700K          
LED9_L3    LM301B            1574.803mil  -2755.906mil   1574.803mil  -2755.906mil   1512.795mil  -2800.197mil  T        180.00 2700K          
LED8_L4    LM301B            1574.803mil   1181.102mil   1574.803mil   1181.102mil   1512.795mil   1136.811mil  T        180.00 5000K          
LED8_L3    LM301B            1574.803mil  -3543.307mil   1574.803mil  -3543.307mil   1512.795mil  -3587.598mil  T        180.00 5000K          
LED7_L4    LM301B            1574.803mil    393.701mil   1574.803mil    393.701mil   1512.795mil    349.409mil  T        180.00 2700K          
LED7_L3    LM301B            1574.803mil  -4330.709mil   1574.803mil  -4330.709mil   1512.795mil      -4375mil  T        180.00 2700K          
LED6_L4    LM301B             787.402mil   4330.709mil    787.402mil   4330.709mil    725.394mil   4286.417mil  T        180.00 2700K          
LED6_L3    LM301B             787.402mil   -393.701mil    787.402mil   -393.701mil    725.394mil   -437.992mil  T        180.00 2700K          
LED5_L4    LM301B             787.402mil   3543.307mil    787.402mil   3543.307mil    725.394mil   3499.016mil  T        180.00 5000K          
LED5_L3    LM301B             787.402mil  -1181.102mil    787.402mil  -1181.102mil    725.394mil  -1225.394mil  T        180.00 5000K          
LED4_L4    LM301B             787.402mil   2755.905mil    787.402mil   2755.905mil    725.394mil   2711.614mil  T        180.00 2700K          
LED4_L3    LM301B             787.402mil  -1968.504mil    787.402mil  -1968.504mil    725.394mil  -2012.795mil  T        180.00 2700K          
