Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED2_L_0   LM301B            -629.921mil   2125.984mil   -629.921mil   2125.984mil   -629.921mil   2156.496mil  T        360.00 5000K          
LED3_L_0   LM301B            -629.921mil   1653.543mil   -629.921mil   1653.543mil   -629.921mil   1684.055mil  T        360.00 2700K          
LED4_L_0   LM301B            -629.921mil   1181.102mil   -629.921mil   1181.102mil   -629.921mil   1211.614mil  T        360.00 2700K          
LED5_L_0   LM301B            -629.921mil    708.662mil   -629.921mil    708.661mil   -629.921mil    739.173mil  T        360.00 5000K          
LED6_L_0   LM301B            -629.921mil    236.221mil   -629.921mil     236.22mil   -629.921mil    266.732mil  T        360.00 2700K          
LED7_L_0   LM301B           -1417.323mil   2598.425mil  -1417.323mil   2598.425mil  -1417.323mil   2628.937mil  T        360.00 2700K          
LED8_L_0   LM301B           -1417.323mil   2125.984mil  -1417.323mil   2125.984mil  -1417.323mil   2156.496mil  T        360.00 5000K          
LED9_L_0   LM301B           -1417.323mil   1653.543mil  -1417.323mil   1653.543mil  -1417.323mil   1684.055mil  T        360.00 2700K          
LED10_L_0  LM301B           -1417.323mil   1181.102mil  -1417.323mil   1181.102mil  -1417.323mil   1211.614mil  T        360.00 2700K          
LED11_L_0  LM301B           -1417.323mil    708.662mil  -1417.323mil    708.661mil  -1417.323mil    739.173mil  T        360.00 5000K          
LED12_L_0  LM301B           -1417.323mil    236.221mil  -1417.323mil     236.22mil  -1417.323mil    266.732mil  T        360.00 2700K          
LED13_L_0  LM301B           -2204.724mil   2598.425mil  -2204.724mil   2598.425mil  -2204.724mil   2628.937mil  T        360.00 2700K          
LED14_L_0  LM301B           -2204.724mil   2125.984mil  -2204.724mil   2125.984mil  -2204.724mil   2156.496mil  T        360.00 5000K          
LED15_L_0  LM301B           -2204.724mil   1653.543mil  -2204.724mil   1653.543mil  -2204.724mil   1684.055mil  T        360.00 2700K          
LED16_L_0  LM301B           -2204.724mil   1181.102mil  -2204.724mil   1181.102mil  -2204.724mil   1211.614mil  T        360.00 2700K          
