Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R3         2512              -354.331mil      -2000mil   -354.331mil      -2000mil    -236.22mil      -2000mil  T        180.00 0R             
LED15_L2   LM301B            2362.204mil   -393.701mil   2362.205mil   -393.701mil   2300.196mil   -437.992mil  T        180.00 2700K          
LED15_L1   LM301B           -3149.606mil    393.701mil  -3149.606mil    393.701mil  -3087.599mil    437.992mil  T        360.00 2700K          
LED14_L2   LM301B            2362.204mil  -1181.103mil   2362.205mil  -1181.102mil   2300.196mil  -1225.394mil  T        180.00 5000K          
LED14_L1   LM301B           -3149.606mil   1181.103mil  -3149.606mil   1181.102mil  -3087.599mil   1225.394mil  T        360.00 5000K          
LED13_L2   LM301B            2362.204mil  -1968.504mil   2362.205mil  -1968.504mil   2300.196mil  -2012.796mil  T        180.00 2700K          
LED13_L1   LM301B           -3149.606mil   1968.504mil  -3149.606mil   1968.504mil  -3087.599mil   2012.796mil  T        360.00 2700K          
LED12_L2   LM301B            1574.803mil   1968.504mil   1574.803mil   1968.504mil   1512.795mil   1924.212mil  T        180.00 2700K          
LED12_L1   LM301B           -3937.008mil  -1968.504mil  -3937.008mil  -1968.504mil  -3875.001mil  -1924.212mil  T        360.00 2700K          
LED11_L2   LM301B            1574.803mil   1181.103mil   1574.803mil   1181.102mil   1512.795mil   1136.812mil  T        180.00 5000K          
LED11_L1   LM301B           -3937.008mil  -1181.103mil  -3937.008mil  -1181.102mil  -3875.001mil  -1136.812mil  T        360.00 5000K          
LED10_L2   LM301B            1574.803mil    393.701mil   1574.803mil    393.701mil   1512.795mil     349.41mil  T        180.00 2700K          
LED10_L1   LM301B           -3937.008mil   -393.701mil  -3937.008mil   -393.701mil  -3875.001mil    -349.41mil  T        360.00 2700K          
LED9_L2    LM301B            1574.803mil   -393.701mil   1574.803mil   -393.701mil   1512.795mil   -437.992mil  T        180.00 2700K          
LED9_L1    LM301B           -3937.008mil    393.701mil  -3937.008mil    393.701mil  -3875.001mil    437.992mil  T        360.00 2700K          
LED8_L2    LM301B            1574.803mil  -1181.103mil   1574.803mil  -1181.102mil   1512.795mil  -1225.394mil  T        180.00 5000K          
LED8_L1    LM301B           -3937.008mil   1181.103mil  -3937.008mil   1181.102mil  -3875.001mil   1225.394mil  T        360.00 5000K          
LED7_L2    LM301B            1574.803mil  -1968.504mil   1574.803mil  -1968.504mil   1512.795mil  -2012.796mil  T        180.00 2700K          
LED7_L1    LM301B           -3937.008mil   1968.504mil  -3937.008mil   1968.504mil  -3875.001mil   2012.796mil  T        360.00 2700K          
LED6_L2    LM301B             787.402mil   1968.504mil    787.402mil   1968.504mil    725.394mil   1924.212mil  T        180.00 2700K          
LED6_L1    LM301B           -4724.409mil  -1968.504mil  -4724.409mil  -1968.504mil  -4662.403mil  -1924.212mil  T        360.00 2700K          
LED5_L2    LM301B             787.402mil   1181.103mil    787.402mil   1181.102mil    725.394mil   1136.812mil  T        180.00 5000K          
LED5_L1    LM301B           -4724.409mil  -1181.103mil  -4724.409mil  -1181.102mil  -4662.403mil  -1136.812mil  T        360.00 5000K          
LED4_L2    LM301B             787.402mil    393.701mil    787.402mil    393.701mil    725.394mil     349.41mil  T        180.00 2700K          
LED4_L1    LM301B           -4724.409mil   -393.701mil  -4724.409mil   -393.701mil  -4662.403mil    -349.41mil  T        360.00 2700K          
LED3_L2    LM301B             787.402mil   -393.701mil    787.402mil   -393.701mil    725.394mil   -437.992mil  T        180.00 2700K          
LED3_L1    LM301B           -4724.409mil    393.701mil  -4724.409mil    393.701mil  -4662.403mil    437.992mil  T        360.00 2700K          
LED2_L2    LM301B             787.402mil  -1181.103mil    787.402mil  -1181.102mil    725.394mil  -1225.394mil  T        180.00 5000K          
LED2_L1    LM301B           -4724.409mil   1181.103mil  -4724.409mil   1181.102mil  -4662.403mil   1225.394mil  T        360.00 5000K          
LED1_L2    LM301B             787.402mil  -1968.504mil    787.402mil  -1968.504mil    725.394mil  -2012.796mil  T        180.00 2700K          
LED1_L1    LM301B           -4724.409mil   1968.504mil  -4724.409mil   1968.504mil  -4662.403mil   2012.796mil  T        360.00 2700K          
L1_D2      SRN6045TA           354.33mil     208.66mil     354.33mil     208.66mil    453.739mil     208.66mil  T         90.00 47uH           
L1_D1      SRN6045TA          -354.33mil  -1783.463mil    -354.33mil  -1783.464mil   -453.739mil  -1783.463mil  T        270.00 47uH           
D1_D2      SMA                114.173mil     129.92mil    114.172mil     129.92mil    114.173mil      51.18mil  T         90.00 B240A          
D1_D1      SMA               -114.173mil  -1704.723mil   -114.172mil  -1704.723mil   -114.173mil  -1625.983mil  T        270.00 B240A          
C5_D2      0603               620.079mil     -0.985mil    620.078mil     -0.985mil    620.079mil    -30.512mil  T         90.00 1uF            
C5_D1      0603              -620.079mil  -1573.818mil   -620.078mil  -1573.818mil   -620.079mil  -1544.291mil  T        270.00 1uF            
C4_D2      0603               559.055mil     48.228mil    559.054mil     48.227mil    559.055mil     77.756mil  T        270.00 1.5nF          
C4_D1      0603              -559.055mil  -1623.031mil   -559.054mil  -1623.031mil   -559.055mil  -1652.559mil  T         90.00 1.5nF          
C3_D2      0603               559.055mil    -50.198mil    559.054mil    -50.198mil    559.055mil     -20.67mil  T        270.00 1.5nF          
C3_D1      0603              -559.055mil  -1524.605mil   -559.054mil  -1524.605mil   -559.055mil  -1554.133mil  T         90.00 1.5nF          
C2_D2      1206                47.244mil     -106.3mil     47.243mil     -106.3mil     47.244mil    -49.214mil  T        270.00 4.7uF          
C2_D1      1206               -43.308mil  -1468.504mil    -43.307mil  -1468.504mil    -43.308mil   -1525.59mil  T         90.00 4.7uF          
C1_D2      1206               137.794mil     -106.3mil    137.794mil     -106.3mil    137.794mil    -49.214mil  T        270.00 0.1uF          
C1_D1      1206              -137.794mil  -1468.503mil   -137.794mil  -1468.503mil   -137.794mil  -1525.589mil  T         90.00 0.1uF          
J1         JST_XH-3_right_angle      0.001mil   1397.638mil          0mil   1397.638mil    -98.424mil   1253.937mil  T        180.00 JST 3          
R2         2512               301.181mil    425.197mil    301.181mil    425.197mil    183.071mil    425.197mil  T        360.00 0R             
R4         0603               186.024mil   1091.535mil    186.024mil   1091.535mil    215.551mil   1091.535mil  T        180.00 51K            
R5         0603               273.622mil   1035.433mil    273.622mil   1035.433mil    244.095mil   1035.433mil  T          0.00 10K            
R6         0603               194.882mil   1016.732mil    194.882mil   1016.732mil    194.882mil    1046.26mil  T        270.00 30K            

